route_num,video_name,window_idx,window_start_sec,window_end_sec,building_coverage,building_oppression,green_coverage,openness_index,road_coverage,sidewalk_coverage,sky_visibility,wall_fence_coverage
1,CUT 5,4,4.0,7.0,0.17899594907407407,0.08091719430906155,0.0023770254629629627,0.4999163290895062,0.3305340952932099,0.014065393518518519,0.35552854938271605,0.0026357542438271604
1,CUT 5,5,5.0,8.0,0.17598934220679013,0.07996414848074276,0.0026533564814814814,0.5019712898662552,0.3199242862654321,0.012778983410493827,0.36215567129629633,0.002418981481481481
1,CUT 5,6,6.0,9.0,0.1773929398148148,0.08156766387262937,0.0027042341820987656,0.5009768036265432,0.31397641782407404,0.012846016589506173,0.36240427276234566,0.0021409625771604936
1,CUT 5,7,7.0,10.0,0.1812818287037037,0.08289985057021315,0.00312475887345679,0.49775471000514404,0.3158422550154321,0.012787181712962963,0.358540943287037,0.001634837962962963
1,CUT 5,8,8.0,11.0,0.1836398051697531,0.08354858032768765,0.0031790123456790125,0.49589924125514406,0.31786217206790124,0.012711709104938271,0.35259548611111113,0.0014838927469135801
1,CUT 5,9,9.0,12.0,0.18680362654320987,0.08568736625563084,0.002942708333333333,0.49319846322016464,0.3255070891203704,0.012632378472222223,0.3410088734567901,0.0015620177469135802
1,CUT 5,10,10.0,13.0,0.19175974151234568,0.09720511861871886,0.002469376929012346,0.48105428562242797,0.319815055941358,0.010842255015432099,0.34037254050925925,0.001558641975308642
1,CUT 5,11,11.0,14.0,0.19499011381172837,0.10024099989638424,0.0025713734567901236,0.4756649466306584,0.28086395640432094,0.00634596836419753,0.34667848186728395,0.0005034722222222222
1,CUT 5,12,12.0,15.0,0.19496551890432098,0.09975957294991922,0.0029598283179012347,0.47469754693930044,0.2544550540123457,0.004503761574074074,0.3604169077932099,5.8834876543209875e-05
1,CUT 5,13,13.0,16.0,0.20254629629629628,0.09893714445639416,0.0029675443672839506,0.47113916216563784,0.2461839313271605,0.003916859567901235,0.36934534143518516,5.2565586419753085e-05
1,CUT 5,14,14.0,17.0,0.21012056327160494,0.09897796553805448,0.0019970100308641975,0.46798498585390946,0.25021870177469135,0.003368778935185185,0.35299889081790126,0.00019989390432098765
1,CUT 5,15,15.0,18.0,0.21487003279320988,0.10169005106080588,0.001496190200617284,0.4673960744598766,0.2975115740740741,0.0031901041666666666,0.32238233024691354,0.0011880304783950617
1,CUT 5,16,16.0,19.0,0.22094618055555557,0.10507286427650962,0.0014631558641975309,0.4676152584876543,0.3091013213734568,0.003408323688271605,0.31274811921296297,0.0015796199845679012
1,CUT 5,17,17.0,20.0,0.22458622685185187,0.10548763768297525,0.0015140335648148148,0.4663874421296296,0.3035669849537037,0.003424479166666667,0.3159085648148148,0.0014462770061728395
1,CUT 5,18,18.0,21.0,0.22416907793209878,0.10449668228480906,0.001509452160493827,0.4668209072788066,0.3041777584876543,0.0034816261574074072,0.3180856963734568,0.0013042534722222223
1,CUT 5,19,19.0,22.0,0.22430555555555556,0.10481996999900647,0.0015133101851851852,0.4664719971707819,0.3022289737654321,0.0034584780092592592,0.319130256558642,0.0012905092592592593
1,CUT 5,20,20.0,23.0,0.2244511959876543,0.10563009946875757,0.0015186149691358026,0.46492195537551445,0.2959129050925926,0.0035286458333333333,0.3203460165895062,0.0012803819444444444
1,CUT 5,21,21.0,24.0,0.22267144097222225,0.10566491526033768,0.00164038387345679,0.4635407825360082,0.2902592110339506,0.0034088059413580245,0.31518614969135805,0.001478587962962963
1,CUT 5,22,22.0,25.0,0.21946903935185186,0.10598011549884363,0.0015825135030864198,0.46323816872427975,0.3002348572530864,0.0032060185185185186,0.3040629822530864,0.0017332175925925926
1,CUT 5,23,23.0,26.0,0.21948712384259259,0.11014068795450051,0.0015041473765432098,0.4620471643518519,0.3115581597222222,0.0027196662808641973,0.2925,0.0022863618827160493
1,CUT 5,24,24.0,27.0,0.22258873456790124,0.1129284578386181,0.0014339795524691357,0.46004348315329213,0.32492283950617284,0.0024838445216049383,0.2786345003858025,0.002346161265432099
1,CUT 5,25,25.0,28.0,0.21775679976851853,0.1039490934409219,0.00158203125,0.4620161394032921,0.36472800925925924,0.0026451581790123456,0.24596595293209877,0.0016097608024691359
1,CUT 5,26,26.0,29.0,0.2067580536265432,0.0981182059234953,0.002134693287037037,0.4669275655864198,0.3580854552469136,0.002857590663580247,0.24957007137345677,0.0015400752314814815
1,CUT 5,27,27.0,30.0,0.20130883487654322,0.09512590544271685,0.002255979938271605,0.47434911908436217,0.354677131558642,0.0031023341049382716,0.24873505015432099,0.0007923418209876544
1,CUT 5,28,28.0,31.0,0.2006372974537037,0.09710922528582519,0.0024409239969135806,0.4830440618569959,0.38664424189814817,0.003540702160493827,0.251181037808642,0.00042607060185185185
1,CUT 5,29,29.0,32.0,0.19035228587962963,0.09751985933733859,0.003894193672839506,0.48793193801440327,0.4220560860339506,0.004232011959876544,0.24518205054012346,3.641010802469136e-05
1,CUT 5,30,30.0,33.0,0.17997588734567901,0.09487308400528252,0.0056515239197530865,0.4831933995627572,0.4096971450617284,0.004454330632716049,0.2455543499228395,0.0
1,CUT 5,31,31.0,34.0,0.17715567129629628,0.09172776296340372,0.013574218749999999,0.45122588734567903,0.2674766107253086,0.006722366898148148,0.27797767168209875,0.0
1,CUT 5,32,32.0,35.0,0.19331621334876542,0.09751668033272376,0.015181809413580247,0.44743738747427986,0.2557735339506173,0.011022135416666667,0.3003223861882716,0.0
1,CUT 5,33,33.0,36.0,0.20010175540123457,0.09810104299049846,0.012740162037037038,0.45844248328189297,0.27998119212962963,0.013217592592592593,0.3070237750771605,1.2056327160493827e-06
1,CUT 5,34,34.0,37.0,0.20511405285493828,0.10262704912684839,0.012733651620370372,0.4607117251800411,0.30195408950617286,0.019851224922839507,0.28727213541666663,2.387152777777778e-05
1,CUT 5,35,35.0,38.0,0.21057990933641973,0.09879270633653198,0.02003978587962963,0.45608900784465023,0.3155746045524691,0.02280936535493827,0.27664592978395064,0.0001335841049382716
1,CUT 5,36,36.0,38.467,0.21824556327160494,0.1103778263028563,0.026195505401234567,0.4487937242798354,0.31599006558641973,0.026031057098765433,0.24072386188271605,0.0006467013888888889
1,CUT 5,37,37.0,38.467,0.21824556327160494,0.11083008322147299,0.034342689043209876,0.44590213477366253,0.28816502700617286,0.026295331790123458,0.2632224151234568,0.0020997299382716048
1,CUT 5,38,38.0,38.467,0.21824556327160494,0.1126780158178657,0.034342689043209876,0.43779160236625514,0.2900453317901235,0.028584104938271605,0.2522723765432099,0.005500096450617284
