route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 2,18,18.0,21.0,2.0,0.0,0.0030655961566501,0.0,0.0,2.0,1.0,0.0,28.772882282249853,683.6415353604461,19559.860983014525,,,0,4.977574445232869,0
2,CUT 2,19,19.0,22.0,2.0,0.0,0.003989626566569,0.0,0.0,2.0,1.0,0.0,16.90993378254861,439.0441575452165,9490.198901054477,,,0,3.9630802856300194,0
2,CUT 2,20,20.0,23.0,2.0,0.0,0.0066331911087036,0.0,0.0,2.0,1.0,0.0,26.302391542244308,694.9285991015761,16079.066813418274,,,0,3.422814708118889,0
2,CUT 2,21,21.0,24.0,2.0,0.0,0.0111048486497667,0.0,0.0,2.0,1.0,0.0,39.02423033779453,1002.4050148858984,25077.67197488008,,,0,3.1927469217353,0
2,CUT 2,22,22.0,25.0,2.0,0.0,0.0111048486497667,0.0,0.0,2.0,0.0,0.0,89.94187598783678,1213.5689508076557,30905.328566465825,,,0,2.4127524368146887,1
2,CUT 2,23,23.0,26.0,1.0,0.0,0.0039441666338178,0.0,0.0,1.0,0.0,0.0,100.8324043375532,1551.441766803648,43147.55856616928,,,0,2.60065021392333,1
2,CUT 2,24,24.0,27.0,1.0,0.0,0.0043771957026587,0.0,0.0,1.0,0.0,0.0,39.44258386901161,336.91072253124275,7930.901846353171,,,0,1.5660729444451218,1
2,CUT 2,25,25.0,28.0,4.0,0.0,0.005107164118025,0.0,0.0,4.0,0.0,0.0,23.15111544183682,633.626722065321,15455.33036771031,,,0,2.919563294680629,1
2,CUT 2,26,26.0,29.0,4.0,0.0,0.0014638602733612,0.0,0.0,4.0,0.0,0.0,22.42170988931211,621.8163185643817,13617.203152356436,,,0,2.616369504838693,1
2,CUT 2,27,27.0,29.633,5.0,0.0,0.0013344856103261,0.0,0.0,5.0,0.0,0.0,18.331952868401803,542.4134848385518,12343.082773322249,,,0,4.21587810618036,0
2,CUT 2,28,28.0,29.633,5.0,0.0,0.0014745328161451,0.0,0.0,5.0,0.0,0.0,13.049699848126618,389.2864262452123,8391.606832746282,,,0,3.252540765719213,0
2,CUT 2,29,29.0,29.633,5.0,0.0,0.0017534504334131,0.0,0.0,5.0,0.0,0.0,14.90104226136935,412.3291224646953,9661.658458254624,,,0,2.20451504191286,4
2,CUT 3,0,0.0,3.0,7.0,0.0,0.0163412019941541,0.0,0.0,7.0,3.0,0.0,46.9932848609151,2071.645893200301,21622.877571542787,,,0,0.9249270962019064,2
2,CUT 3,1,1.0,4.0,8.0,0.0,0.0221053388383653,0.0,0.0,8.0,1.0,0.0,62.62040298366563,2369.8282147464665,30398.88301098413,,,0,0.4559391916330168,3
2,CUT 3,2,2.0,5.0,9.0,0.0,0.0225514242384168,0.0,0.0,9.0,1.0,0.0,75.23758788095545,1194.5466502471545,27055.076581455785,,,0,0.4559391916330168,2
2,CUT 3,3,3.0,6.0,8.0,0.0,0.0214393255445692,0.0,0.0,8.0,1.0,0.0,54.66436191207657,1507.215812715075,33617.80067512927,,,0,0.4559391916330168,1
2,CUT 3,4,4.0,7.0,6.0,0.0,0.0197487364874945,0.0,0.0,6.0,1.0,0.0,21.724567516135536,735.2015570437624,20388.39242704428,,,0,2.6667483731681907,1
2,CUT 3,5,5.0,8.0,4.0,0.0,0.0183508925967746,0.0,0.0,4.0,0.5,0.0,22.084200950386062,809.7036370583854,19018.877927606205,,,0,3.30901054476756,0
